Initialising...

 INFO CPUClient:61 - main- CPU: speed:1.0, cores:2
Entities started.
00000.000	00000.3947	00000.4388	00000.3947	00000.3947	00000.8335	00000.4388	
00001.000	00000.3994	00000.3995	00000.7941	00000.8335	00001.233	00000.3995	
00002.000	00000.4142	00000.4095	00001.2083	00001.233	00001.6425	00000.4095	
00003.000	00000.4311	00000.4803	00001.6394	00001.6425	00002.1228	00000.4803	
00004.000	00000.4221	00000.4514	00002.0615	00002.1228	00002.5742	00000.4514	
00005.000	00000.4072	00000.4415	00002.4687	00002.5742	00003.0157	00000.4415	
00006.000	00000.3931	00000.3752	00002.8618	00003.0157	00003.3909	00000.3752	
00007.000	00000.4381	00000.4045	00003.2999	00003.3909	00003.7954	00000.4045	
00008.000	00000.4021	00000.473	00003.702	00003.7954	00004.2684	00000.473	
00009.000	00000.5772	00000.389	00004.2792	00004.2792	00004.6682	00000.389	
00010.000	00000.4402	00000.3824	00004.7194	00004.7194	00005.1018	00000.3824	
00011.000	00000.3823	00000.414	00005.1017	00005.1018	00005.5158	00000.414	
00012.000	00000.4172	00000.4169	00005.5189	00005.5189	00005.9358	00000.4169	
00013.000	00000.3762	00000.3682	00005.8951	00005.9358	00006.304	00000.3682	
00014.000	00000.4081	00000.4081	00006.3032	00006.304	00006.7121	00000.4081	
00015.000	00000.3771	00000.3675	00006.6803	00006.7121	00007.0796	00000.3675	
00016.000	00000.3951	00000.3988	00007.0754	00007.0796	00007.4784	00000.3988	
00017.000	00000.3782	00000.3735	00007.4536	00007.4784	00007.8519	00000.3735	
00018.000	00000.4141	00000.4035	00007.8677	00007.8677	00008.2712	00000.4035	
00019.000	00000.4052	00000.3859	00008.2729	00008.2729	00008.6588	00000.3859	
00020.000	00000.3741	00000.3799	00008.647	00008.6588	00009.0387	00000.3799	
00021.000	00000.4162	00000.4162	00009.0632	00009.0632	00009.4794	00000.4162	
00022.000	00000.3981	00000.3879	00009.4613	00009.4794	00009.8673	00000.3879	
00023.000	00000.3782	00000.3853	00009.8395	00009.8673	00010.2526	00000.3853	
00024.000	00000.3971	00000.4203	00010.2366	00010.2526	00010.6729	00000.4203	
00025.000	00000.4191	00000.3928	00010.6557	00010.6729	00011.0657	00000.3928	
